key,record-id,completeness,comment,registration-moment,responsible-person,key:contract
progress-log-01,PG-SA-0001,33.75,This is a generic comment,2022/04/11 00:00,Andrés López,contract-01
progress-log-02,PG-A-0000,33.75,This is a generic comment,2022/04/11 00:00,Andrés López,contract-01
progress-log-03,PG-Z-9999,33.75,This is a generic comment,2022/04/11 00:00,Andrés López,contract-01
progress-log-04,PG-AA-0001,33.75,This is a generic comment,2022/04/11 00:00,Andrés López,contract-01
progress-log-05,PG-ZZ-9999,33.75,This is a generic comment,2022/04/11 00:00,Andrés López,contract-01
progress-log-06,PG-SA-0002,1,This is a generic comment,2022/04/11 00:00,Andrés López,contract-01
progress-log-07,PG-SA-0003,09.9,This is a generic comment,2022/04/11 00:00,Andrés López,contract-01
progress-log-08,PG-SA-0004,99.99,This is a generic comment,2022/04/11 00:00,Andrés López,contract-01
progress-log-09,PG-SA-0005,00.01,This is a generic comment,2022/04/11 00:00,Andrés López,contract-01
progress-log-10,PG-SA-0006,100.00,This is a generic comment,2022/04/11 00:00,Andrés López,contract-01
progress-log-11,PG-SA-0007,33.75,A,2022/04/11 00:00,Andrés López,contract-01
progress-log-12,PG-SA-0008,33.75,"This is a generic comment entre comillas",2022/04/11 00:00,Andrés López,contract-01
progress-log-13,PG-SA-0009,33.75,Filler abstract to reach one hundred (100) characters in the attribute called as abstractDescription,2022/04/11 00:00,Andrés López,contract-01
progress-log-14,PG-SA-0010,33.75,貸んい建濯よ芝弾テソ,2022/04/11 00:00,Andrés López,contract-01
progress-log-15,PG-SA-0011,33.75,Λορεμ ιπσθμ δολορ123,2022/04/11 00:00,Andrés López,contract-01
progress-log-16,PG-SA-0012,33.75,<script> window.location = ‘https://example.com’; </script>,2022/04/11 00:00,Andrés López,contract-01
progress-log-17,PG-SA-0013,33.75,This is a generic comment,2022/04/03 00:00,Andrés López,contract-01
progress-log-18,PG-SA-0014,33.75,This is a generic comment,2022/04/03 00:01,Andrés López,contract-01
progress-log-19,PG-SA-0015,33.75,This is a generic comment,2022/07/30 00:00,Andrés López,contract-01
progress-log-20,PG-SA-0016,33.75,This is a generic comment,2022/07/29 23:59,Andrés López,contract-01
progress-log-21,PG-SA-0017,33.75,This is a generic comment,2022/04/11 00:00,B,contract-01
progress-log-22,PG-SA-0018,33.75,This is a generic comment,2022/04/11 00:00,"Comillas",contract-01
progress-log-23,PG-SA-0019,33.75,This is a generic comment,2022/04/11 00:00,<script> window.location = ‘https://example.com’; </script>,contract-01
progress-log-24,PG-SA-0020,33.75,This is a generic comment,2022/04/11 00:00,貸んい建濯よ芝弾,contract-01
progress-log-25,PG-SA-0021,33.75,This is a generic comment,2022/04/11 00:00,Filler  title of project to reach seventy five characters in attribute name,contract-01
progress-log-26,PG-SA-0022,33.75,This is a generic comment,2022/04/11 00:00,Andrés López,contract-02
progress-log-27,PG-SA-0023,33.75,This is a generic comment,2022/04/11 00:00,Andrés López,contract-21
